Sample,Library,Sample.category,Tissue.category,useForWGCNA,SampleID,Region,DevStage
"medial temporal gyrus - adult, donor10196",CNhs13809.10183.103D3,tissues,adult brain tissue,yes,S1,CTX,adult
"medial temporal gyrus, adult, donor10252",CNhs12310.10150.102I6,tissues,adult brain tissue,yes,S2,CTX,adult
"medial temporal gyrus, donor10252",CNhs12316.10156.103A3,tissues,adult brain tissue,yes,S3,CTX,adult
"occipital cortex - adult, donor10196",CNhs13798.10172.103C1,tissues,adult brain tissue,yes,S4,CTX,adult
"occipital cortex, adult, donor10252",CNhs12320.10163.103B1,tissues,adult brain tissue,yes,S5,CTX,adult
"parietal lobe - adult, donor10196",CNhs13797.10171.103B9,tissues,adult brain tissue,yes,S6,CTX,adult
"parietal lobe, adult, donor10252",CNhs12317.10157.103A4,tissues,adult brain tissue,yes,S7,CTX,adult
"parietal lobe, adult, pool1",CNhs10641.10034.101E7,tissues,adult brain tissue,yes,S8,CTX,adult
"paracentral gyrus, adult, pool1",CNhs10642.10035.101E8,tissues,adult brain tissue,yes,S9,CTX,adult
"postcentral gyrus, adult, pool1",CNhs10638.10032.101E5,tissues,adult brain tissue,yes,S10,CTX,adult
"amygdala - adult, donor10196",CNhs13793.10167.103B5,tissues,adult brain tissue,yes,S11,Amygdala,adult
"amygdala, adult, donor10252",CNhs12311.10151.102I7,tissues,adult brain tissue,yes,S12,Amygdala,adult
"hippocampus - adult, donor10196",CNhs13795.10169.103B7,tissues,adult brain tissue,yes,S13,Hippocampus,adult
"hippocampus, adult, donor10252",CNhs12312.10153.102I9,tissues,adult brain tissue,yes,S14,Hippocampus,adult
"caudate nucleus - adult, donor10196",CNhs13802.10177.103C6,tissues,adult brain tissue,yes,S15,CaudateNucleus,adult
"caudate nucleus, adult, donor10252",CNhs12321.10164.103B2,tissues,adult brain tissue,yes,S16,CaudateNucleus,adult
"globus pallidus - adult, donor10196",CNhs13801.10175.103C4,tissues,adult brain tissue,yes,S17,GP_TH,adult
"globus pallidus, adult, donor10252",CNhs12319.10161.103A8,tissues,adult brain tissue,yes,S18,GP_TH,adult
"thalamus - adult, donor10196",CNhs13794.10168.103B6,tissues,adult brain tissue,yes,S19,GP_TH,adult
"thalamus, adult, donor10252",CNhs12314.10154.103A1,tissues,adult brain tissue,yes,S20,GP_TH,adult
"locus coeruleus - adult, donor10196",CNhs13808.10182.103D2,tissues,adult brain tissue,yes,S21,LocusCoeruleus,adult
"locus coeruleus, adult, donor10252",CNhs12322.10165.103B3,tissues,adult brain tissue,yes,S22,LocusCoeruleus,adult
"medulla oblongata - adult, donor10196",CNhs13800.10174.103C3,tissues,adult brain tissue,yes,S23,MedullaOblongata,adult
"medulla oblongata, adult, donor10252",CNhs12315.10155.103A2,tissues,adult brain tissue,yes,S24,MedullaOblongata,adult
"medulla oblongata, adult, pool1",CNhs10645.10038.101F2,tissues,adult brain tissue,yes,S25,MedullaOblongata,adult
"cerebellum - adult, donor10196",CNhs13799.10173.103C2,tissues,adult brain tissue,yes,S26,Cerebellum,adult
"cerebellum, adult, donor10252",CNhs12323.10166.103B4,tissues,adult brain tissue,yes,S27,Cerebellum,adult
"cerebellum, adult, pool1",CNhs11795.10083.102B2,tissues,adult brain tissue,yes,S28,Cerebellum,adult
"brain, fetal, pool1",CNhs11797.10085.102B4,tissues,fetal brain tissue,yes,S29,FetalBrain,fetal
"occipital lobe, fetal, donor1",CNhs11784.10073.102A1,tissues,fetal brain tissue,yes,S30,FetalBrain,fetal
"parietal lobe, fetal, donor1",CNhs11782.10072.101I9,tissues,fetal brain tissue,yes,S31,FetalBrain,fetal
